date,interest_rate,inflation,gdp,liquidity
1957-01-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-02-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-03-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-04-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-05-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-06-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-07-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-08-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-09-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-10-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-11-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1957-12-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-01-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-02-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-03-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-04-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-05-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-06-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-07-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-08-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-09-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-10-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-11-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1958-12-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-01-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-02-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-03-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-04-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-05-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-06-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-07-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-08-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-09-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-10-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-11-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1959-12-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-01-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-02-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-03-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-04-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-05-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-06-01,4.0,14.4767513188567,109591707801.431,37.1550948522045
1960-07-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1960-08-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1960-09-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1960-10-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1960-11-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1960-12-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-01-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-02-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-03-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-04-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-05-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-06-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-07-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-08-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-09-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-10-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-11-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1961-12-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-01-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-02-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-03-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-04-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-05-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-06-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-07-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-08-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-09-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-10-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-11-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1962-12-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-01-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-02-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-03-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-04-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-05-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-06-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-07-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-08-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
1963-09-01,6.0,14.4767513188567,109591707801.431,37.1550948522045
